Name;Email;Country;Car;FavoriteFood;Registered;Active;Age
Orson Bell;dignissim.magna@velitPellentesqueultricies.net;France;Mercedes-Benz;sandwiches;03/16/2021;true;21
Graiden Benton;habitant@aliquetmolestie.edu;Germany;Mercedes-Benz;pasta;01/04/2022;true;46
Lester Lynch;per.conubia.nostra@sitamet.org;France;BMW;soups;05/19/2022;false;35
Garrison Morales;Cras.eget.nisi@sagittis.co.uk;Germany;Volkswagen;soups;03/07/2021;false;34
Aphrodite Sherman;sem.semper.erat@nonummy.co.uk;France;BMW;pasta;02/03/2022;true;40
Kay Delacruz;sapien@iaculisneceleifend.edu;France;Volkswagen;sandwiches;09/25/2020;true;20
Brady Monroe;diam.luctus@maurisblanditmattis.co.uk;Germany;BMW;sandwiches;10/22/2021;true;40
Dale Mccarty;Integer.eu.lacus@urnasuscipit.com;Germany;BMW;sandwiches;02/18/2022;false;29
Paloma Beasley;accumsan.sed@sociisnatoque.com;Germany;BMW;sandwiches;12/23/2021;true;30
Emmanuel Young;vulputate.posuere.vulputate@nibhenimgravida.co.uk;France;BMW;pasta;10/11/2020;false;45
Adele Mccormick;Proin@consectetuer.org;France;Volkswagen;salads;05/30/2022;true;42
Ramona Graves;ornare@magnaet.co.uk;France;Mercedes-Benz;pasta;09/13/2020;false;48
Rachel Jenkins;pretium.aliquet@tincidunt.org;Germany;Mercedes-Benz;soups;05/17/2021;true;27
Christine Golden;vulputate@nisimagna.co.uk;France;BMW;soups;11/06/2021;false;24
Sylvester Campbell;lectus.Cum.sociis@nonmassanon.ca;Germany;Mercedes-Benz;salads;03/08/2022;true;25
Imogene Stuart;fermentum.arcu.Vestibulum@et.com;France;Volkswagen;soups;07/27/2021;true;45
Avye Patel;mauris.blandit@Suspendisseacmetus.com;Germany;BMW;soups;10/21/2021;true;24
